Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Day'Ron Sharpe,C,24.0,BRK,62.0,1160.0,20.6,0.638,19.9,2.0,1.5,3.5,0.145,0.4,1.0,1.4,1.0,7.0,8.7,6.7,2.3,1.1,0.4,1.7,0.601,0.231,0.678,6250000.0,6.25
GG Jackson II,PF,21.0,MEM,54.0,1160.0,15.6,0.592,23.5,0.4,0.9,1.4,0.056,-0.1,-1.2,-1.3,0.2,27.0,12.5,4.3,1.4,0.6,0.8,1.6,0.499,0.332,0.735,2221677.0,2.221677
Quinten Post,PF,25.0,GSW,67.0,1159.0,13.0,0.56,18.8,0.7,1.3,1.9,0.08,-1.0,-0.1,-1.1,0.3,35.0,7.7,4.0,1.4,0.4,0.5,0.8,0.44,0.336,0.791,1955377.0,1.955377
Jericho Sims,C,27.0,MIL,62.0,1155.0,12.1,0.784,9.2,2.0,0.6,2.6,0.107,-2.5,-1.0,-3.5,-0.5,16.0,4.4,5.3,1.3,0.2,0.2,1.1,0.793,,0.636,2461463.0,2.461463
Simone Fontecchio,SF,30.0,MIA,69.0,1146.0,13.3,0.567,19.6,1.2,1.2,2.4,0.099,0.3,-0.2,0.1,0.6,8.0,8.3,3.0,1.4,0.5,0.1,0.7,0.403,0.366,0.84,8307692.0,8.307692
Mouhamed Gueye,PF,23.0,ATL,74.0,1143.0,12.0,0.54,12.5,0.8,1.8,2.6,0.11,-2.6,1.2,-1.4,0.2,8.0,4.5,3.6,0.9,0.8,0.5,0.4,0.454,0.306,0.645,2221677.0,2.221677
Dru Smith,SG,28.0,MIA,70.0,1141.0,14.5,0.532,15.2,1.2,1.9,3.0,0.128,-1.5,3.6,2.1,1.2,1.0,5.6,2.5,2.6,1.4,0.3,0.8,0.415,0.295,0.829,2378870.0,2.37887
Andre Drummond,C,32.0,PHI,59.0,1141.0,16.0,0.538,14.9,1.3,1.7,3.0,0.126,-0.6,-0.3,-0.9,0.3,25.0,6.3,8.2,1.2,0.6,0.8,1.0,0.469,0.353,0.636,5000000.0,5.0
Mitchell Robinson,C,27.0,NYK,58.0,1136.0,20.7,0.676,10.6,3.2,2.3,5.5,0.231,1.8,1.3,3.2,1.5,16.0,5.6,8.7,0.9,0.9,1.1,0.7,0.724,,0.406,12954546.0,12.954546
Svi Mykhailiuk,SF,28.0,UTA,49.0,1132.0,11.5,0.631,14.5,1.4,-0.2,1.2,0.051,0.3,-1.9,-1.6,0.1,41.0,9.2,2.4,1.9,0.5,0.1,0.8,0.483,0.412,0.893,3675000.0,3.675
Marvin Bagley III,PF,26.0,2TM,56.0,1119.0,19.9,0.655,18.6,2.7,0.7,3.4,0.144,1.5,-1.0,0.5,0.7,10.0,10.3,6.1,1.4,0.5,0.7,1.1,0.616,0.452,0.652,2296274.0,2.296274
Jordan Walsh,PF,21.0,BOS,63.0,1108.0,13.2,0.624,11.7,1.7,1.7,3.5,0.15,-1.4,1.5,0.1,0.6,22.0,5.3,4.0,0.8,0.7,0.5,0.5,0.512,0.391,0.755,2221677.0,2.221677
Caris LeVert,SG,31.0,DET,57.0,1106.0,10.7,0.517,18.4,-0.3,1.7,1.5,0.063,-1.9,1.4,-0.5,0.4,0.0,7.4,2.0,2.7,0.8,0.7,1.4,0.419,0.33,0.658,14104000.0,14.104
